Niveluri de instruire, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Invatamant preuniversitar, Masculin, Brasov, Anul 2016, Numar persoane, 4432
Invatamant preuniversitar, Masculin, Brasov, Anul 2017, Numar persoane, 4389
Invatamant preuniversitar, Masculin, Covasna, Anul 2013, Numar persoane, 1994
Invatamant preuniversitar, Masculin, Covasna, Anul 2014, Numar persoane, 1936
Invatamant preuniversitar, Masculin, Covasna, Anul 2015, Numar persoane, 1816
Invatamant preuniversitar, Masculin, Covasna, Anul 2016, Numar persoane, 1804
Invatamant preuniversitar, Masculin, Covasna, Anul 2017, Numar persoane, 1762
Invatamant preuniversitar, Masculin, Harghita, Anul 2013, Numar persoane, 3192
Invatamant preuniversitar, Masculin, Harghita, Anul 2014, Numar persoane, 3255
Invatamant preuniversitar, Masculin, Harghita, Anul 2015, Numar persoane, 3056
Invatamant preuniversitar, Masculin, Harghita, Anul 2016, Numar persoane, 3098
Invatamant preuniversitar, Masculin, Harghita, Anul 2017, Numar persoane, 2887
Invatamant preuniversitar, Masculin, Mures, Anul 2013, Numar persoane, 4995
Invatamant preuniversitar, Masculin, Mures, Anul 2014, Numar persoane, 5436
Invatamant preuniversitar, Masculin, Mures, Anul 2015, Numar persoane, 4841
Invatamant preuniversitar, Masculin, Mures, Anul 2016, Numar persoane, 4966
Invatamant preuniversitar, Masculin, Mures, Anul 2017, Numar persoane, 4856
Invatamant preuniversitar, Masculin, Sibiu, Anul 2013, Numar persoane, 3615
Invatamant preuniversitar, Masculin, Sibiu, Anul 2014, Numar persoane, 3700
Invatamant preuniversitar, Masculin, Sibiu, Anul 2015, Numar persoane, 3293
Invatamant preuniversitar, Masculin, Sibiu, Anul 2016, Numar persoane, 3473
Invatamant preuniversitar, Masculin, Sibiu, Anul 2017, Numar persoane, 3401
Invatamant preuniversitar, Masculin, Bacau, Anul 2013, Numar persoane, 6152
Invatamant preuniversitar, Masculin, Bacau, Anul 2014, Numar persoane, 6283
Invatamant preuniversitar, Masculin, Bacau, Anul 2015, Numar persoane, 5986
Invatamant preuniversitar, Masculin, Bacau, Anul 2016, Numar persoane, 6089
Invatamant preuniversitar, Masculin, Bacau, Anul 2017, Numar persoane, 5918
Invatamant preuniversitar, Masculin, Botosani, Anul 2013, Numar persoane, 4445
Invatamant preuniversitar, Masculin, Botosani, Anul 2014, Numar persoane, 4674
Invatamant preuniversitar, Masculin, Botosani, Anul 2015, Numar persoane, 4289
Invatamant preuniversitar, Masculin, Botosani, Anul 2016, Numar persoane, 4272
Invatamant preuniversitar, Masculin, Botosani, Anul 2017, Numar persoane, 4317
Invatamant preuniversitar, Masculin, Iasi, Anul 2013, Numar persoane, 8351
Invatamant preuniversitar, Masculin, Iasi, Anul 2014, Numar persoane, 8756
Invatamant preuniversitar, Masculin, Iasi, Anul 2015, Numar persoane, 7749
Invatamant preuniversitar, Masculin, Iasi, Anul 2016, Numar persoane, 7966
Invatamant preuniversitar, Masculin, Iasi, Anul 2017, Numar persoane, 8008
Invatamant preuniversitar, Masculin, Neamt, Anul 2013, Numar persoane, 5273
Invatamant preuniversitar, Masculin, Neamt, Anul 2014, Numar persoane, 5463
Invatamant preuniversitar, Masculin, Neamt, Anul 2015, Numar persoane, 5016
Invatamant preuniversitar, Masculin, Neamt, Anul 2016, Numar persoane, 4911
Invatamant preuniversitar, Masculin, Neamt, Anul 2017, Numar persoane, 4909
Invatamant preuniversitar, Masculin, Suceava, Anul 2013, Numar persoane, 8217
Invatamant preuniversitar, Masculin, Suceava, Anul 2014, Numar persoane, 8482
Invatamant preuniversitar, Masculin, Suceava, Anul 2015, Numar persoane, 7634
Invatamant preuniversitar, Masculin, Suceava, Anul 2016, Numar persoane, 7639
Invatamant preuniversitar, Masculin, Suceava, Anul 2017, Numar persoane, 7555
Invatamant preuniversitar, Masculin, Vaslui, Anul 2013, Numar persoane, 4250
Invatamant preuniversitar, Masculin, Vaslui, Anul 2014, Numar persoane, 4627
Invatamant preuniversitar, Masculin, Vaslui, Anul 2015, Numar persoane, 4200
Invatamant preuniversitar, Masculin, Vaslui, Anul 2016, Numar persoane, 4242
Invatamant preuniversitar, Masculin, Vaslui, Anul 2017, Numar persoane, 4135
Invatamant preuniversitar, Masculin, Braila, Anul 2013, Numar persoane, 3217
Invatamant preuniversitar, Masculin, Braila, Anul 2014, Numar persoane, 3340
Invatamant preuniversitar, Masculin, Braila, Anul 2015, Numar persoane, 2979
Invatamant preuniversitar, Masculin, Braila, Anul 2016, Numar persoane, 2934
Invatamant preuniversitar, Masculin, Braila, Anul 2017, Numar persoane, 3005
Invatamant preuniversitar, Masculin, Buzau, Anul 2013, Numar persoane, 4457
Invatamant preuniversitar, Masculin, Buzau, Anul 2014, Numar persoane, 4755
Invatamant preuniversitar, Masculin, Buzau, Anul 2015, Numar persoane, 4013
Invatamant preuniversitar, Masculin, Buzau, Anul 2016, Numar persoane, 4007
Invatamant preuniversitar, Masculin, Buzau, Anul 2017, Numar persoane, 3992
Invatamant preuniversitar, Masculin, Constanta, Anul 2013, Numar persoane, 6947
Invatamant preuniversitar, Masculin, Constanta, Anul 2014, Numar persoane, 7510
Invatamant preuniversitar, Masculin, Constanta, Anul 2015, Numar persoane, 6603
Invatamant preuniversitar, Masculin, Constanta, Anul 2016, Numar persoane, 6723
Invatamant preuniversitar, Masculin, Constanta, Anul 2017, Numar persoane, 6644
Invatamant preuniversitar, Masculin, Galati, Anul 2013, Numar persoane, 5612
Invatamant preuniversitar, Masculin, Galati, Anul 2014, Numar persoane, 5813
Invatamant preuniversitar, Masculin, Galati, Anul 2015, Numar persoane, 5014
Invatamant preuniversitar, Masculin, Galati, Anul 2016, Numar persoane, 5236
Invatamant preuniversitar, Masculin, Galati, Anul 2017, Numar persoane, 5200
Invatamant preuniversitar, Masculin, Tulcea, Anul 2013, Numar persoane, 1980
Invatamant preuniversitar, Masculin, Tulcea, Anul 2014, Numar persoane, 2062
Invatamant preuniversitar, Masculin, Tulcea, Anul 2015, Numar persoane, 1820
Invatamant preuniversitar, Masculin, Tulcea, Anul 2016, Numar persoane, 1843
Invatamant preuniversitar, Masculin, Tulcea, Anul 2017, Numar persoane, 1697
Invatamant preuniversitar, Masculin, Vrancea, Anul 2013, Numar persoane, 3120
Invatamant preuniversitar, Masculin, Vrancea, Anul 2014, Numar persoane, 3309
Invatamant preuniversitar, Masculin, Vrancea, Anul 2015, Numar persoane, 3030
Invatamant preuniversitar, Masculin, Vrancea, Anul 2016, Numar persoane, 2852
Invatamant preuniversitar, Masculin, Vrancea, Anul 2017, Numar persoane, 2913
Invatamant preuniversitar, Masculin, Arges, Anul 2013, Numar persoane, 6883
Invatamant preuniversitar, Masculin, Arges, Anul 2014, Numar persoane, 6943
Invatamant preuniversitar, Masculin, Arges, Anul 2015, Numar persoane, 6420
Invatamant preuniversitar, Masculin, Arges, Anul 2016, Numar persoane, 6039
Invatamant preuniversitar, Masculin, Arges, Anul 2017, Numar persoane, 6649
Invatamant preuniversitar, Masculin, Calarasi, Anul 2013, Numar persoane, 2751
Invatamant preuniversitar, Masculin, Calarasi, Anul 2014, Numar persoane, 2684
Invatamant preuniversitar, Masculin, Calarasi, Anul 2015, Numar persoane, 2541
Invatamant preuniversitar, Masculin, Calarasi, Anul 2016, Numar persoane, 2259
Invatamant preuniversitar, Masculin, Calarasi, Anul 2017, Numar persoane, 2446
Invatamant preuniversitar, Masculin, Dambovita, Anul 2013, Numar persoane, 4586
Invatamant preuniversitar, Masculin, Dambovita, Anul 2014, Numar persoane, 4949
Invatamant preuniversitar, Masculin, Dambovita, Anul 2015, Numar persoane, 4437
Invatamant preuniversitar, Masculin, Dambovita, Anul 2016, Numar persoane, 4396
Invatamant preuniversitar, Masculin, Dambovita, Anul 2017, Numar persoane, 4396
Invatamant preuniversitar, Masculin, Giurgiu, Anul 2013, Numar persoane, 2186
Invatamant preuniversitar, Masculin, Giurgiu, Anul 2014, Numar persoane, 2283
Invatamant preuniversitar, Masculin, Giurgiu, Anul 2015, Numar persoane, 2104
Invatamant preuniversitar, Masculin, Giurgiu, Anul 2016, Numar persoane, 1977
Invatamant preuniversitar, Masculin, Giurgiu, Anul 2017, Numar persoane, 1999
Invatamant preuniversitar, Masculin, Ialomita, Anul 2013, Numar persoane, 2421
Invatamant preuniversitar, Masculin, Ialomita, Anul 2014, Numar persoane, 2697
Invatamant preuniversitar, Masculin, Ialomita, Anul 2015, Numar persoane, 2250
Invatamant preuniversitar, Masculin, Ialomita, Anul 2016, Numar persoane, 2208
Invatamant preuniversitar, Masculin, Ialomita, Anul 2017, Numar persoane, 2146
Invatamant preuniversitar, Masculin, Prahova, Anul 2013, Numar persoane, 7195
Invatamant preuniversitar, Masculin, Prahova, Anul 2014, Numar persoane, 7861
Invatamant preuniversitar, Masculin, Prahova, Anul 2015, Numar persoane, 7149
Invatamant preuniversitar, Masculin, Prahova, Anul 2016, Numar persoane, 6915
Invatamant preuniversitar, Masculin, Prahova, Anul 2017, Numar persoane, 6922
Invatamant preuniversitar, Masculin, Teleorman, Anul 2013, Numar persoane, 3302
Invatamant preuniversitar, Masculin, Teleorman, Anul 2014, Numar persoane, 3422
Invatamant preuniversitar, Masculin, Teleorman, Anul 2015, Numar persoane, 3089
Invatamant preuniversitar, Masculin, Teleorman, Anul 2016, Numar persoane, 2913
Invatamant preuniversitar, Masculin, Teleorman, Anul 2017, Numar persoane, 2983
Invatamant preuniversitar, Masculin, Ilfov, Anul 2013, Numar persoane, 2563
Invatamant preuniversitar, Masculin, Ilfov, Anul 2014, Numar persoane, 2708
Invatamant preuniversitar, Masculin, Ilfov, Anul 2015, Numar persoane, 2324
Invatamant preuniversitar, Masculin, Ilfov, Anul 2016, Numar persoane, 2256
Invatamant preuniversitar, Masculin, Ilfov, Anul 2017, Numar persoane, 2345
Invatamant preuniversitar, Masculin, Dolj, Anul 2013, Numar persoane, 6766
Invatamant preuniversitar, Masculin, Dolj, Anul 2014, Numar persoane, 7487
Invatamant preuniversitar, Masculin, Dolj, Anul 2015, Numar persoane, 6480
Invatamant preuniversitar, Masculin, Dolj, Anul 2016, Numar persoane, 6463
Invatamant preuniversitar, Masculin, Dolj, Anul 2017, Numar persoane, 6268
Invatamant preuniversitar, Masculin, Gorj, Anul 2013, Numar persoane, 5201
Invatamant preuniversitar, Masculin, Gorj, Anul 2014, Numar persoane, 5161
Invatamant preuniversitar, Masculin, Gorj, Anul 2015, Numar persoane, 4338
Invatamant preuniversitar, Masculin, Gorj, Anul 2016, Numar persoane, 4305
Invatamant preuniversitar, Masculin, Gorj, Anul 2017, Numar persoane, 3997
Invatamant preuniversitar, Masculin, Mehedinti, Anul 2013, Numar persoane, 3033
Invatamant preuniversitar, Masculin, Mehedinti, Anul 2014, Numar persoane, 3250
Invatamant preuniversitar, Masculin, Mehedinti, Anul 2015, Numar persoane, 2819
Invatamant preuniversitar, Masculin, Mehedinti, Anul 2016, Numar persoane, 2671
Invatamant preuniversitar, Masculin, Mehedinti, Anul 2017, Numar persoane, 2669
Invatamant preuniversitar, Masculin, Olt, Anul 2013, Numar persoane, 4814
Invatamant preuniversitar, Masculin, Olt, Anul 2014, Numar persoane, 5077
Invatamant preuniversitar, Masculin, Olt, Anul 2015, Numar persoane, 4555
Invatamant preuniversitar, Masculin, Olt, Anul 2016, Numar persoane, 4508
Invatamant preuniversitar, Masculin, Olt, Anul 2017, Numar persoane, 4409
Invatamant preuniversitar, Masculin, Valcea, Anul 2013, Numar persoane, 4016
Invatamant preuniversitar, Masculin, Valcea, Anul 2014, Numar persoane, 4255
Invatamant preuniversitar, Masculin, Valcea, Anul 2015, Numar persoane, 3792
Invatamant preuniversitar, Masculin, Valcea, Anul 2016, Numar persoane, 3776
Invatamant preuniversitar, Masculin, Valcea, Anul 2017, Numar persoane, 3817
Invatamant preuniversitar, Masculin, Regiunea VEST, Anul 2013, Numar persoane, 17816
Invatamant preuniversitar, Masculin, Regiunea VEST, Anul 2014, Numar persoane, 18604
Invatamant preuniversitar, Masculin, Regiunea VEST, Anul 2015, Numar persoane, 16722
Invatamant preuniversitar, Masculin, Regiunea VEST, Anul 2016, Numar persoane, 16430
Invatamant preuniversitar, Masculin, Regiunea VEST, Anul 2017, Numar persoane, 16446
Invatamant preuniversitar, Masculin, Arad, Anul 2013, Numar persoane, 4074
Invatamant preuniversitar, Masculin, Arad, Anul 2014, Numar persoane, 4194
Invatamant preuniversitar, Masculin, Arad, Anul 2015, Numar persoane, 3777
Invatamant preuniversitar, Masculin, Arad, Anul 2016, Numar persoane, 3698
Invatamant preuniversitar, Masculin, Arad, Anul 2017, Numar persoane, 3914
Invatamant preuniversitar, Masculin, Caras-Severin, Anul 2013, Numar persoane, 2870
Invatamant preuniversitar, Masculin, Caras-Severin, Anul 2014, Numar persoane, 3004
Invatamant preuniversitar, Masculin, Caras-Severin, Anul 2015, Numar persoane, 2687
Invatamant preuniversitar, Masculin, Caras-Severin, Anul 2016, Numar persoane, 2769
Invatamant preuniversitar, Masculin, Caras-Severin, Anul 2017, Numar persoane, 2686
Invatamant preuniversitar, Masculin, Hunedoara, Anul 2013, Numar persoane, 4720
Invatamant preuniversitar, Masculin, Hunedoara, Anul 2014, Numar persoane, 4979
Invatamant preuniversitar, Masculin, Hunedoara, Anul 2015, Numar persoane, 4426
Invatamant preuniversitar, Masculin, Hunedoara, Anul 2016, Numar persoane, 4176
Invatamant preuniversitar, Masculin, Hunedoara, Anul 2017, Numar persoane, 4146
Invatamant preuniversitar, Masculin, Timis, Anul 2013, Numar persoane, 6152
Invatamant preuniversitar, Masculin, Timis, Anul 2014, Numar persoane, 6427
Invatamant preuniversitar, Masculin, Timis, Anul 2015, Numar persoane, 5832
Invatamant preuniversitar, Masculin, Timis, Anul 2016, Numar persoane, 5787
Invatamant preuniversitar, Masculin, Timis, Anul 2017, Numar persoane, 5700
Invatamant preuniversitar, Feminin, TOTAL, Anul 2013, Numar persoane, 200731
Invatamant preuniversitar, Feminin, TOTAL, Anul 2014, Numar persoane, 214092
Invatamant preuniversitar, Feminin, TOTAL, Anul 2015, Numar persoane, 189725
Invatamant preuniversitar, Feminin, TOTAL, Anul 2016, Numar persoane, 188866
Invatamant preuniversitar, Feminin, TOTAL, Anul 2017, Numar persoane, 188546
Invatamant preuniversitar, Feminin, Bihor, Anul 2013, Numar persoane, 6314
Invatamant preuniversitar, Feminin, Bihor, Anul 2014, Numar persoane, 6798
Invatamant preuniversitar, Feminin, Bihor, Anul 2015, Numar persoane, 5879
Invatamant preuniversitar, Feminin, Bihor, Anul 2016, Numar persoane, 5721
Invatamant preuniversitar, Feminin, Bihor, Anul 2017, Numar persoane, 5784
Invatamant preuniversitar, Feminin, Bistrita-Nasaud, Anul 2013, Numar persoane, 3365
Invatamant preuniversitar, Feminin, Bistrita-Nasaud, Anul 2014, Numar persoane, 3605
Invatamant preuniversitar, Feminin, Bistrita-Nasaud, Anul 2015, Numar persoane, 3050
Invatamant preuniversitar, Feminin, Bistrita-Nasaud, Anul 2016, Numar persoane, 3101
Invatamant preuniversitar, Feminin, Bistrita-Nasaud, Anul 2017, Numar persoane, 3174
Invatamant preuniversitar, Feminin, Cluj, Anul 2013, Numar persoane, 6341
Invatamant preuniversitar, Feminin, Cluj, Anul 2014, Numar persoane, 6760
Invatamant preuniversitar, Feminin, Cluj, Anul 2015, Numar persoane, 5963
Invatamant preuniversitar, Feminin, Cluj, Anul 2016, Numar persoane, 6022
Invatamant preuniversitar, Feminin, Cluj, Anul 2017, Numar persoane, 6060
Invatamant preuniversitar, Feminin, Maramures, Anul 2013, Numar persoane, 5339
Invatamant preuniversitar, Feminin, Maramures, Anul 2014, Numar persoane, 5571
Invatamant preuniversitar, Feminin, Maramures, Anul 2015, Numar persoane, 4955
Invatamant preuniversitar, Feminin, Maramures, Anul 2016, Numar persoane, 4976
Invatamant preuniversitar, Feminin, Maramures, Anul 2017, Numar persoane, 4821
Invatamant preuniversitar, Feminin, Satu Mare, Anul 2013, Numar persoane, 3401
Invatamant preuniversitar, Feminin, Satu Mare, Anul 2014, Numar persoane, 3769
Invatamant preuniversitar, Feminin, Satu Mare, Anul 2015, Numar persoane, 3137
Invatamant preuniversitar, Feminin, Satu Mare, Anul 2016, Numar persoane, 3175
Invatamant preuniversitar, Feminin, Satu Mare, Anul 2017, Numar persoane, 3199
Invatamant preuniversitar, Feminin, Salaj, Anul 2013, Numar persoane, 2509
Invatamant preuniversitar, Feminin, Salaj, Anul 2014, Numar persoane, 2432
Invatamant preuniversitar, Feminin, Salaj, Anul 2015, Numar persoane, 2287
Invatamant preuniversitar, Feminin, Salaj, Anul 2016, Numar persoane, 2237
Invatamant preuniversitar, Feminin, Salaj, Anul 2017, Numar persoane, 2189
Invatamant preuniversitar, Feminin, Alba, Anul 2013, Numar persoane, 3726
Invatamant preuniversitar, Feminin, Alba, Anul 2014, Numar persoane, 3659
Invatamant preuniversitar, Feminin, Alba, Anul 2015, Numar persoane, 3298
Invatamant preuniversitar, Feminin, Alba, Anul 2016, Numar persoane, 3449
Invatamant preuniversitar, Feminin, Alba, Anul 2017, Numar persoane, 3345
Invatamant preuniversitar, Feminin, Brasov, Anul 2013, Numar persoane, 4619
Invatamant preuniversitar, Feminin, Brasov, Anul 2014, Numar persoane, 4755
Invatamant preuniversitar, Feminin, Brasov, Anul 2015, Numar persoane, 4362
Invatamant preuniversitar, Feminin, Brasov, Anul 2016, Numar persoane, 4468
Invatamant preuniversitar, Feminin, Brasov, Anul 2017, Numar persoane, 4461
Invatamant preuniversitar, Feminin, Covasna, Anul 2013, Numar persoane, 2136
Invatamant preuniversitar, Feminin, Covasna, Anul 2014, Numar persoane, 2057
Invatamant preuniversitar, Feminin, Covasna, Anul 2015, Numar persoane, 1902
Invatamant preuniversitar, Feminin, Covasna, Anul 2016, Numar persoane, 1893
Invatamant preuniversitar, Feminin, Covasna, Anul 2017, Numar persoane, 1740
Invatamant preuniversitar, Feminin, Harghita, Anul 2013, Numar persoane, 3229
Invatamant preuniversitar, Feminin, Harghita, Anul 2014, Numar persoane, 3402
Invatamant preuniversitar, Feminin, Harghita, Anul 2015, Numar persoane, 3095
Invatamant preuniversitar, Feminin, Harghita, Anul 2016, Numar persoane, 3088
Invatamant preuniversitar, Feminin, Harghita, Anul 2017, Numar persoane, 2964
Invatamant preuniversitar, Feminin, Mures, Anul 2013, Numar persoane, 5209
Invatamant preuniversitar, Feminin, Mures, Anul 2014, Numar persoane, 5451
Invatamant preuniversitar, Feminin, Mures, Anul 2015, Numar persoane, 4996
Invatamant preuniversitar, Feminin, Mures, Anul 2016, Numar persoane, 4968
Invatamant preuniversitar, Feminin, Mures, Anul 2017, Numar persoane, 4895
Invatamant preuniversitar, Feminin, Sibiu, Anul 2013, Numar persoane, 3698
Invatamant preuniversitar, Feminin, Sibiu, Anul 2014, Numar persoane, 3900
Invatamant preuniversitar, Feminin, Sibiu, Anul 2015, Numar persoane, 3527
Invatamant preuniversitar, Feminin, Sibiu, Anul 2016, Numar persoane, 3568
Invatamant preuniversitar, Feminin, Sibiu, Anul 2017, Numar persoane, 3601
Invatamant preuniversitar, Feminin, Bacau, Anul 2013, Numar persoane, 6440
Invatamant preuniversitar, Feminin, Bacau, Anul 2014, Numar persoane, 6798
Invatamant preuniversitar, Feminin, Bacau, Anul 2015, Numar persoane, 6096
Invatamant preuniversitar, Feminin, Bacau, Anul 2016, Numar persoane, 6208
Invatamant preuniversitar, Feminin, Bacau, Anul 2017, Numar persoane, 6158
Invatamant preuniversitar, Feminin, Botosani, Anul 2013, Numar persoane, 4429
Invatamant preuniversitar, Feminin, Botosani, Anul 2014, Numar persoane, 4933
Invatamant preuniversitar, Feminin, Botosani, Anul 2015, Numar persoane, 4522
Invatamant preuniversitar, Feminin, Botosani, Anul 2016, Numar persoane, 4565
Invatamant preuniversitar, Feminin, Botosani, Anul 2017, Numar persoane, 4510
Invatamant preuniversitar, Feminin, Iasi, Anul 2013, Numar persoane, 8530
Invatamant preuniversitar, Feminin, Iasi, Anul 2014, Numar persoane, 9537
Invatamant preuniversitar, Feminin, Iasi, Anul 2015, Numar persoane, 8345
Invatamant preuniversitar, Feminin, Iasi, Anul 2016, Numar persoane, 8642
Invatamant preuniversitar, Feminin, Iasi, Anul 2017, Numar persoane, 8335
Invatamant preuniversitar, Feminin, Neamt, Anul 2013, Numar persoane, 5362
Invatamant preuniversitar, Feminin, Neamt, Anul 2014, Numar persoane, 5696
Invatamant preuniversitar, Feminin, Neamt, Anul 2015, Numar persoane, 4772
Invatamant preuniversitar, Feminin, Neamt, Anul 2016, Numar persoane, 4945
Invatamant preuniversitar, Feminin, Neamt, Anul 2017, Numar persoane, 4857
Invatamant preuniversitar, Feminin, Suceava, Anul 2013, Numar persoane, 8222
Invatamant preuniversitar, Feminin, Suceava, Anul 2014, Numar persoane, 8824
Invatamant preuniversitar, Feminin, Suceava, Anul 2015, Numar persoane, 8009
Invatamant preuniversitar, Feminin, Suceava, Anul 2016, Numar persoane, 7690
Invatamant preuniversitar, Feminin, Suceava, Anul 2017, Numar persoane, 7485
Invatamant preuniversitar, Feminin, Vaslui, Anul 2013, Numar persoane, 4453
Invatamant preuniversitar, Feminin, Vaslui, Anul 2014, Numar persoane, 5054
Invatamant preuniversitar, Feminin, Vaslui, Anul 2015, Numar persoane, 4414
Invatamant preuniversitar, Feminin, Vaslui, Anul 2016, Numar persoane, 4460
Invatamant preuniversitar, Feminin, Vaslui, Anul 2017, Numar persoane, 4244
Invatamant preuniversitar, Feminin, Braila, Anul 2013, Numar persoane, 2999
Invatamant preuniversitar, Feminin, Braila, Anul 2014, Numar persoane, 3286
Invatamant preuniversitar, Feminin, Braila, Anul 2015, Numar persoane, 2873
Invatamant preuniversitar, Feminin, Braila, Anul 2016, Numar persoane, 2820
Invatamant preuniversitar, Feminin, Braila, Anul 2017, Numar persoane, 2888
Invatamant preuniversitar, Feminin, Buzau, Anul 2013, Numar persoane, 4440
Invatamant preuniversitar, Feminin, Buzau, Anul 2014, Numar persoane, 4441
Invatamant preuniversitar, Feminin, Buzau, Anul 2015, Numar persoane, 4208
Invatamant preuniversitar, Feminin, Buzau, Anul 2016, Numar persoane, 3894
Invatamant preuniversitar, Feminin, Buzau, Anul 2017, Numar persoane, 3937
Invatamant preuniversitar, Feminin, Constanta, Anul 2013, Numar persoane, 6822
Invatamant preuniversitar, Feminin, Constanta, Anul 2014, Numar persoane, 7510
Invatamant preuniversitar, Feminin, Constanta, Anul 2015, Numar persoane, 6834
Invatamant preuniversitar, Feminin, Constanta, Anul 2016, Numar persoane, 6803
Invatamant preuniversitar, Feminin, Constanta, Anul 2017, Numar persoane, 6885
Invatamant preuniversitar, Feminin, Galati, Anul 2013, Numar persoane, 5433
Invatamant preuniversitar, Feminin, Galati, Anul 2014, Numar persoane, 5916
Invatamant preuniversitar, Feminin, Galati, Anul 2015, Numar persoane, 5157
Invatamant preuniversitar, Feminin, Galati, Anul 2016, Numar persoane, 5385
Invatamant preuniversitar, Feminin, Galati, Anul 2017, Numar persoane, 5360
Invatamant preuniversitar, Feminin, Tulcea, Anul 2013, Numar persoane, 2063
Invatamant preuniversitar, Feminin, Tulcea, Anul 2014, Numar persoane, 2146
Invatamant preuniversitar, Feminin, Tulcea, Anul 2015, Numar persoane, 1905
Invatamant preuniversitar, Feminin, Tulcea, Anul 2016, Numar persoane, 1764
Invatamant preuniversitar, Feminin, Tulcea, Anul 2017, Numar persoane, 1818
Invatamant preuniversitar, Feminin, Vrancea, Anul 2013, Numar persoane, 3449
Invatamant preuniversitar, Feminin, Vrancea, Anul 2014, Numar persoane, 3535
Invatamant preuniversitar, Feminin, Vrancea, Anul 2015, Numar persoane, 3141
Invatamant preuniversitar, Feminin, Vrancea, Anul 2016, Numar persoane, 2995
Invatamant preuniversitar, Feminin, Vrancea, Anul 2017, Numar persoane, 3210
Invatamant preuniversitar, Feminin, Arges, Anul 2013, Numar persoane, 6036
Invatamant preuniversitar, Feminin, Arges, Anul 2014, Numar persoane, 6288
